t,dayofweek,weekend,y,y_t_1
2,2,0,8.7635,6.504
3,3,0,3.7423333333333333,8.7635
4,4,0,8.291333333333332,3.7423333333333333
5,5,0,1.478,8.291333333333332
6,6,1,5.453333333333333,1.478
7,0,1,7.6530000000000005,5.453333333333333
8,1,0,12.229999999999999,7.6530000000000005
9,2,0,7.633666666666667,12.229999999999999
10,3,0,5.8797500000000005,7.633666666666667
11,4,0,7.5475,5.8797500000000005
12,5,0,6.87625,7.5475
13,6,1,7.131,6.87625
14,0,1,4.599333333333333,7.131
15,1,0,4.099,4.599333333333333
16,2,0,11.718666666666666,4.099
17,3,0,7.4753333333333325,11.718666666666666
18,4,0,5.1591000000000005,7.4753333333333325
19,5,0,4.986285714285714,5.1591000000000005
20,6,1,6.019,4.986285714285714
21,0,1,15.655999999999999,6.019
22,1,0,5.4805,15.655999999999999
23,2,0,9.230599999999999,5.4805
24,3,0,12.7912,9.230599999999999
25,4,0,2.7930588235294116,12.7912
26,5,0,4.819928571428571,2.7930588235294116
27,6,1,4.9784444444444444,4.819928571428571
28,0,1,7.1025,4.9784444444444444
29,1,0,6.455,7.1025
30,2,0,4.043875,6.455
31,3,0,5.054111111111111,4.043875
1,4,0,11.633666666666667,5.054111111111111
2,5,0,7.560588235294118,11.633666666666667
3,6,1,7.0365,7.560588235294118
4,0,1,8.130333333333333,7.0365
5,1,0,8.1775,8.130333333333333
6,2,0,6.073444444444444,8.1775
7,3,0,9.969777777777777,6.073444444444444
8,4,0,5.961526315789474,9.969777777777777
9,5,0,7.7509999999999994,5.961526315789474
10,6,1,7.70125,7.7509999999999994
11,0,1,7.172777777777778,7.70125
12,1,0,10.469727272727273,7.172777777777778
13,2,0,8.430727272727273,10.469727272727273
14,3,0,4.6618,8.430727272727273
15,4,0,9.111727272727272,4.6618
16,5,0,7.961181818181819,9.111727272727272
17,6,1,9.649999999999999,7.961181818181819
18,0,1,8.059,9.649999999999999
19,1,0,9.625333333333334,8.059
20,2,0,9.932125,9.625333333333334
21,3,0,6.323076923076924,9.932125
22,4,0,8.694133333333333,6.323076923076924
23,5,0,7.9821333333333335,8.694133333333333
24,6,1,8.996916666666667,7.9821333333333335
25,0,1,8.7211875,8.996916666666667
26,1,0,7.46275,8.7211875
27,2,0,5.4354,7.46275
28,3,0,7.441999999999999,5.4354
1,4,0,7.324818181818182,7.441999999999999
2,5,0,5.9693,7.324818181818182
3,6,1,9.136153846153846,5.9693
4,0,1,13.275375,9.136153846153846
5,1,0,5.303571428571429,13.275375
6,2,0,4.976176470588236,5.303571428571429
7,3,0,5.801153846153846,4.976176470588236
8,4,0,7.7693076923076925,5.801153846153846
9,5,0,6.474555555555556,7.7693076923076925
10,6,1,8.503888888888888,6.474555555555556
11,0,1,6.764,8.503888888888888
12,1,0,6.402428571428572,6.764
13,2,0,10.504624999999999,6.402428571428572
14,3,0,6.644,10.504624999999999
15,4,0,10.397636363636364,6.644
16,5,0,6.456642857142858,10.397636363636364
17,6,1,5.6123076923076916,6.456642857142858
18,0,1,7.4760833333333325,5.6123076923076916
19,1,0,8.122692307692308,7.4760833333333325
20,2,0,4.774249999999999,8.122692307692308
21,3,0,5.7850624999999996,4.774249999999999
22,4,0,5.1874090909090915,5.7850624999999996
23,5,0,8.401842105263157,5.1874090909090915
24,6,1,9.666500000000001,8.401842105263157
25,0,1,14.15875,9.666500000000001
26,1,0,7.6658,14.15875
27,2,0,5.098,7.6658
28,3,0,8.776,5.098
29,4,0,6.647125,8.776
30,5,0,5.8636,6.647125
31,6,1,7.287727272727272,5.8636
1,0,1,6.983333333333333,7.287727272727272
2,1,0,3.4905999999999997,6.983333333333333
3,2,0,9.45975,3.4905999999999997
4,3,0,7.14775,9.45975
