Chargingevent,CPID,Connector,StartDate,StartTime,EndDate,EndTime,StartDate_num,StartTime_num,EndDate_num,EndTime_num,duration,TotalkWh,Cost,Site,Group,Model,Model1
4261472,50908,2,3/5/2018,2:54:59 PM,3/8/2018,10:08:00 AM,43164.00,14.92,43167.00,10.13,4033.00,15,0,"Trades Lane, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,fast
4261653,51086,2,3/5/2018,4:00:00 PM,3/7/2018,11:36:59 AM,43164.00,16.00,43166.00,11.62,2617.00,6,0,"Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,fast
4259753,50843,1,3/5/2018,12:13:00 AM,3/7/2018,8:36:59 PM,43164.00,0.22,43166.00,20.62,4104.00,15,0,"Oakland Day Centre, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262365,50692,2,3/5/2018,11:54:59 PM,3/6/2018,12:00:59 AM,43164.00,23.92,43165.00,0.02,6.00,5,0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger,rapid
4262362,50339,2,3/5/2018,11:38:59 PM,3/6/2018,12:39:59 AM,43164.00,23.65,43165.00,0.67,61.00,8,0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger,rapid
4262358,51085,2,3/5/2018,11:31:59 PM,3/6/2018,2:55:59 PM,43164.00,23.53,43165.00,14.93,924.00,15,0,"Sinclair Street, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262326,50841,2,3/5/2018,9:49:00 PM,3/6/2018,7:53:59 AM,43164.00,21.82,43165.00,7.90,605.00,8,0,"Brington Place Sheltered Housing, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262325,50373,2,3/5/2018,9:47:00 PM,3/6/2018,7:35:59 AM,43164.00,21.78,43165.00,7.60,589.00,9,0,"Janet Brougham House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262324,50373,1,3/5/2018,9:47:00 PM,3/6/2018,7:35:00 AM,43164.00,21.78,43165.00,7.58,588.00,9,0,"Janet Brougham House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262285,50841,1,3/5/2018,8:49:59 PM,3/6/2018,6:50:00 AM,43164.00,20.83,43165.00,6.83,600.00,13,0,"Brington Place Sheltered Housing, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4262167,50840,1,3/5/2018,7:27:59 PM,3/6/2018,7:30:59 AM,43164.00,19.47,43165.00,7.52,723.00,16,0,"Ardler Complex, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261699,50268,2,3/5/2018,4:19:00 PM,3/6/2018,9:02:59 AM,43164.00,16.32,43165.00,9.05,1004.00,14,0,"Housing Office West, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261697,50263,2,3/5/2018,4:16:59 PM,3/6/2018,9:20:00 AM,43164.00,16.28,43165.00,9.33,1023.00,8,0,"Whitfield Centre, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261694,51199,1,3/5/2018,4:16:59 PM,3/6/2018,8:01:59 AM,43164.00,16.28,43165.00,8.03,945.00,3,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261679,50240,2,3/5/2018,4:11:59 PM,3/6/2018,2:09:00 PM,43164.00,16.20,43165.00,14.15,1317.00,13,0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261665,51203,1,3/5/2018,4:03:59 PM,3/6/2018,11:23:59 AM,43164.00,16.07,43165.00,11.40,1160.00,5,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261616,50522,1,3/5/2018,3:45:59 PM,3/6/2018,11:06:00 AM,43164.00,15.77,43165.00,11.10,1160.00,13,0,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261594,50264,1,3/5/2018,3:36:00 PM,3/6/2018,9:07:59 AM,43164.00,15.60,43165.00,9.13,1052.00,5,0,"Whitfield Centre, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261567,51201,2,3/5/2018,3:26:00 PM,3/6/2018,9:26:00 AM,43164.00,15.43,43165.00,9.43,1080.00,6,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261564,50270,2,3/5/2018,3:26:00 PM,3/6/2018,8:17:59 AM,43164.00,15.43,43165.00,8.30,1012.00,9,0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261559,50267,2,3/5/2018,3:24:59 PM,3/6/2018,8:23:59 AM,43164.00,15.42,43165.00,8.40,1019.00,4,0,"Social Work Building, Jack Martin Way, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261548,50269,1,3/5/2018,3:23:59 PM,3/6/2018,8:22:59 AM,43164.00,15.40,43165.00,8.38,1019.00,5,0,"Housing Office East, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261534,51200,1,3/5/2018,3:18:00 PM,3/6/2018,9:55:00 AM,43164.00,15.30,43165.00,9.92,1117.00,4,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261528,50230,2,3/5/2018,3:15:59 PM,3/6/2018,7:30:59 AM,43164.00,15.27,43165.00,7.52,975.00,12,0,"DCC Environment, 34 Harefield Road",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261518,51199,2,3/5/2018,3:12:00 PM,3/6/2018,9:58:00 AM,43164.00,15.20,43165.00,9.97,1126.00,10,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261515,50264,2,3/5/2018,3:10:59 PM,3/6/2018,9:57:00 AM,43164.00,15.18,43165.00,9.95,1126.00,11,0,"Whitfield Centre, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261481,50269,2,3/5/2018,2:59:00 PM,3/6/2018,8:07:59 AM,43164.00,14.98,43165.00,8.13,1029.00,16,0,"Housing Office East, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261453,50270,1,3/5/2018,2:46:59 PM,3/6/2018,7:01:59 AM,43164.00,14.78,43165.00,7.03,975.00,13,0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,Slow
4261313,51198,2,3/5/2018,1:54:59 PM,3/6/2018,11:44:59 AM,43164.00,13.92,43165.00,11.75,1310.00,7,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
4261302,51200,2,3/5/2018,1:51:00 PM,3/6/2018,10:40:00 AM,43164.00,13.85,43165.00,10.67,1249.00,2,0,"Dundee House, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Single Outlet,Slow
